record_type,timestamp_pt,timestamp_utc,method,path,query_string,http_status,ip,referrer,user_agent,source_bucket,is_bot,is_tiktok_ua,cdn_cache,matched_visit_id,visit_match_delta_sec,slicewp_landing_url,slicewp_referrer_url,converted_commission_id
access_log_click,2026-08-31 09:12:22,2026-08-31 16:12:22 +0000,GET,/aff/PGFit/,,200,50.215.108.185,-,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",direct_or_unknown,no,no,MISS,,,,,
access_log_click,2026-08-31 09:58:42,2026-08-31 16:58:42 +0000,GET,/aff/PGFit/,fbclid=IwcGRvZgVmZGlkFlDYrya6eYFbh6MB8Cf-kwGI8hrXtlxleHRuA2FlbQExAHNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7_sgnRRLQzctYsbyZu8DrLhfPGglupGaUKSgW0B4zjebZa0rbJOAOKFaLz7w_aem_y8roBWgz2ZsYsM4lJfx7CQ,200,23.251.65.179,https://facebook.com/,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23G71 Safari/604.1 [FBAN/FBIOS;FBAV/568.0.0.66.71;FBBV/1009145310;FBDV/iPhone14,5;FBMD/iPhone;FBSN/iOS;FBSV/26.6;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBRV/1015610706;IABMV/1]",facebook,no,no,HIT,134940,0,,,
ts_visit_beacon,2026-08-31 09:58:42,2026-08-31 16:58:42 +0000,POST,/ts-visit.php,,200,23.251.65.179,https://true-sciences.com/aff/PGFit/?fbclid=IwcGRvZgVmZGlkFlDYrya6eYFbh6MB8Cf-kwGI8hrXtlxleHRuA2FlbQExAHNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7_sgnRRLQzctYsbyZu8DrLhfPGglupGaUKSgW0B4zjebZa0rbJOAOKFaLz7w_aem_y8roBWgz2ZsYsM4lJfx7CQ,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23G71 Safari/604.1 [FBAN/FBIOS;FBAV/568.0.0.66.71;FBBV/1009145310;FBDV/iPhone14,5;FBMD/iPhone;FBSN/iOS;FBSV/26.6;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBRV/1015610706;IABMV/1]",true-sciences.com,no,no,,,,,,
access_log_click,2026-08-31 10:01:59,2026-08-31 17:01:59 +0000,GET,/aff/PGFit/,fbclid=IwcGRvZgVmZGlkFlDYuCLEE5J75VmDYEqCWrMTkDA9OOtleHRuA2FlbQExAHNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7FtVT66yYjJoj-waoncwFiHbpRJb3zIdjKg3dzZNZByPx9Ue_fS33ug33jfA_aem_y8roBWgz2ZsYsM4lJfx7CQ,200,23.251.65.179,https://facebook.com/,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23G71 Safari/604.1 [FBAN/FBIOS;FBAV/568.0.0.66.71;FBBV/1009145310;FBDV/iPhone14,5;FBMD/iPhone;FBSN/iOS;FBSV/26.6;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBRV/1015610706;IABMV/1]",facebook,no,no,HIT,134943,0,,,
ts_visit_beacon,2026-08-31 10:01:59,2026-08-31 17:01:59 +0000,POST,/ts-visit.php,,200,23.251.65.179,https://true-sciences.com/aff/PGFit/?fbclid=IwcGRvZgVmZGlkFlDYuCLEE5J75VmDYEqCWrMTkDA9OOtleHRuA2FlbQExAHNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7FtVT66yYjJoj-waoncwFiHbpRJb3zIdjKg3dzZNZByPx9Ue_fS33ug33jfA_aem_y8roBWgz2ZsYsM4lJfx7CQ,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23G71 Safari/604.1 [FBAN/FBIOS;FBAV/568.0.0.66.71;FBBV/1009145310;FBDV/iPhone14,5;FBMD/iPhone;FBSN/iOS;FBSV/26.6;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBRV/1015610706;IABMV/1]",true-sciences.com,no,no,,,,,,
access_log_click,2026-08-31 10:06:16,2026-08-31 17:06:16 +0000,GET,/aff/PGFit/,fbclid=IwcGRvZgVmZGlkFlDYZOjvTQ4jnPQcoX00N-8RaALc3EJleHRuA2FlbQExAHNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7kc42JyPMIQ_b18KhMeqefWQKnmSPSKDWlsbXN0gCavDWaLqdmlf8C7a6wdQ_aem_y8roBWgz2ZsYsM4lJfx7CQ,200,23.251.65.179,https://facebook.com/,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23G71 Safari/604.1 [FBAN/FBIOS;FBAV/568.0.0.66.71;FBBV/1009145310;FBDV/iPhone14,5;FBMD/iPhone;FBSN/iOS;FBSV/26.6;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBRV/1015610706;IABMV/1]",facebook,no,no,HIT,134949,1,,,
ts_visit_beacon,2026-08-31 10:06:17,2026-08-31 17:06:17 +0000,POST,/ts-visit.php,,200,23.251.65.179,https://true-sciences.com/aff/PGFit/?fbclid=IwcGRvZgVmZGlkFlDYZOjvTQ4jnPQcoX00N-8RaALc3EJleHRuA2FlbQExAHNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7kc42JyPMIQ_b18KhMeqefWQKnmSPSKDWlsbXN0gCavDWaLqdmlf8C7a6wdQ_aem_y8roBWgz2ZsYsM4lJfx7CQ,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23G71 Safari/604.1 [FBAN/FBIOS;FBAV/568.0.0.66.71;FBBV/1009145310;FBDV/iPhone14,5;FBMD/iPhone;FBSN/iOS;FBSV/26.6;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBRV/1015610706;IABMV/1]",true-sciences.com,no,no,,,,,,
access_log_click,2026-08-31 10:33:05,2026-08-31 17:33:05 +0000,GET,/aff/PGFit/,,200,71.18.250.147,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.0.0 Safari/537.36",direct_or_unknown,yes,no,HIT,134975,2,,,
ts_visit_beacon,2026-08-31 10:33:07,2026-08-31 17:33:07 +0000,POST,/ts-visit.php,,200,71.18.250.147,https://true-sciences.com/aff/PGFit/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.0.0 Safari/537.36",true-sciences.com,yes,no,,,,,,
access_log_click,2026-08-31 14:04:25,2026-08-31 21:04:25 +0000,GET,/aff/PGFit/,,200,31.59.113.26,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",direct_or_unknown,no,no,MISS,,,,,
access_log_click,2026-08-31 14:40:05,2026-08-31 21:40:05 +0000,GET,/aff/PGFit/,,200,66.249.92.45,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko; compatible; pageburst) Chrome/151.0.7922.173 Safari/537.36",direct_or_unknown,no,no,MISS,,,,,
ts_visit_beacon,2026-08-31 14:40:08,2026-08-31 21:40:08 +0000,POST,/ts-visit.php,,200,66.249.92.44,https://true-sciences.com/aff/PGFit/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko; compatible; pageburst) Chrome/151.0.7922.173 Safari/537.36",true-sciences.com,no,no,,,,,,
slicewp_visit_unmatched_log,2026-08-31 14:40:08 UTC-07:00,2026-08-31 21:40:08 +0000,,/aff/PGFit/,,,66.249.92.44,,,direct_or_unknown,,no,,135137,,https://true-sciences.com/aff/PGFit/,,0
access_log_click,2026-08-31 17:23:30,2026-09-01 00:23:30 +0000,GET,/aff/PGFit/,,200,69.63.184.14,-,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),direct_or_unknown,yes,no,MISS,,,,,
access_log_non_get,2026-08-31 19:14:54,2026-09-01 02:14:54 +0000,HEAD,/aff/PGFit/,,200,183.80.186.42,-,curl/8.7.1,direct_or_unknown,no,no,,,,,,
access_log_click,2026-08-31 19:14:56,2026-09-01 02:14:56 +0000,GET,/aff/PGFit/,,200,183.80.186.42,-,curl/8.7.1,direct_or_unknown,no,no,MISS,135369,445,,,
access_log_click,2026-08-31 19:15:27,2026-09-01 02:15:27 +0000,GET,/partners/aff/PGFit/,,200,183.80.186.42,-,curl/8.7.1,direct_or_unknown,no,no,MISS,,,,,
slicewp_visit_unmatched_log,2026-08-31 19:15:39 UTC-07:00,2026-09-01 02:15:39 +0000,,/aff/PGFit/,,,35.215.126.215,https://www.tiktok.com/,,tiktok,,yes,,135366,,https://true-sciences.com/aff/PGFit/,https://www.tiktok.com/,0
access_log_non_get,2026-08-31 19:22:21,2026-09-01 02:22:21 +0000,HEAD,/aff/PGFit/,ts_srv_test=1,200,183.80.186.42,-,curl/8.7.1,direct_or_unknown,no,no,,,,,,
